name,description,uri
location_see_also_uris,Comma delimited list of URIs that can be accessed for additional information about the location,http://www.w3.org/2000/01/rdf-schema#seeAlso
children,pipe delimited list of the subject monastic houses of the place. The name of the subject house is given.,
alternate_location_names,Pipe delimited list of alternate names for the location of the place. Language code is given after the name in parenthesis,http://www.w3.org/2000/01/rdf-schema#label
alternate_place_names,Pipe delimited list of alternate names for the place. Language code is given after the name in parenthesis,http://www.w3.org/2000/01/rdf-schema#label
elevation,The WGS84 altitude of a spatial thing (decimal meters above the local reference ellipsoid),http://www.w3.org/2003/01/geo/wgs84_pos#alt
rank_at_foundation,The rank of the place at its foundation,
parent,The name of the monastic house's parent house,
place_see_also_uris,Comma delimited list of URIs that can be accessed for additional information about the place,http://www.w3.org/2000/01/rdf-schema#seeAlso
dedication,Person(s) to which the place is dedicated,
location_category,Category of the location of the place. Valid values are 'associated_modern', 'central_point', 'representative' and 'unknown'. Defaults to 'unknown'.,
earliest_attestation_label,Label of the earliest attested mention of the place,
earliest_attestation_max_year,Latest year of the earliest attested mention of the place,
english_place_name,Name of place in english,
place_references,Pipe delimited list of bibliographic references to the place,http://purl.org/dc/terms/bibliographicCitation
founders,"Pipe delimited list of place's founders. Format is honorific prefix and name, followed by genderin parenthesis",
type,Type of place. Valid value is 'monastery',
italian_place_name,Name of place in italian,
longitude,The WGS84 longitude of a spatial thing (decimal degrees),http://www.w3.org/2003/01/geo/wgs84_pos#long
comune,Comune that contains or is nearby the place's location,
place_category,Category of the place as per the Getty AAT http://www.getty.edu/research/tools/vocabularies/aat/,
notes,Notes about the place,
attestation_types,Types of attestation evidence known for the place,
record_status,Status of the record about the place. Valid values are 'draft' and 'reviewed',
reign_of_earliest_attestation_label,Label of the reign that contains the earliest attested date,
latitude,The WGS84 latitude of a spatial thing (decimal degrees),http://www.w3.org/2003/01/geo/wgs84_pos#lat
order,Monastic order of the place,
positional_accuracy_assessment,Assessment of accuracy of place's location. Valid values are 'generic_handheld_gps', 'google_earth' and 'unknown'. Defaults to 'unknown'.,
seismic_class_id,Seismic classification as per http://www.protezionecivile.gov.it/jcms/en/classificazione.wp,
gender,Gender of inhabitants of th`e place,
earliest_attestation_min_year,Earliest year of the earliest attested mention of the place,
historical_province,Historical province which contained the place,
archaeological_remains,Are there remains on the site today? Defaults to 'unknown',
province,Province that contains the place's location,